127.0.0.1 - - [13/Mar/2023:17:08:23 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Mar/2023:17:08:27 +0530] "GET /addressbook/ HTTP/1.1" 200 2133
0:0:0:0:0:0:0:1 - - [13/Mar/2023:17:08:27 +0530] "GET /addressbook/VAADIN/vaadinBootstrap.js?v=8.0.0.alpha2 HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [13/Mar/2023:17:08:27 +0530] "GET /addressbook/VAADIN/themes/valo/styles.css?v=8.0.0.alpha2 HTTP/1.1" 200 31378
0:0:0:0:0:0:0:1 - - [13/Mar/2023:17:08:27 +0530] "GET /addressbook/VAADIN/widgetsets/com.vaadin.v7.Vaadin7WidgetSet/com.vaadin.v7.Vaadin7WidgetSet.nocache.js?1678707507344 HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [13/Mar/2023:17:08:27 +0530] "GET /addressbook/VAADIN/themes/valo/shared/img/spinner.gif HTTP/1.1" 200 7194
0:0:0:0:0:0:0:1 - - [13/Mar/2023:17:08:27 +0530] "GET /addressbook/VAADIN/widgetsets/com.vaadin.v7.Vaadin7WidgetSet/254B4FEDB43D00FE432E78151B19FD4D.cache.js HTTP/1.1" 200 417820
0:0:0:0:0:0:0:1 - - [13/Mar/2023:17:08:27 +0530] "GET /addressbook/VAADIN/themes/valo/favicon.ico HTTP/1.1" 200 31005
0:0:0:0:0:0:0:1 - - [13/Mar/2023:17:08:28 +0530] "POST /addressbook/?v-1678707507345 HTTP/1.1" 200 8680
0:0:0:0:0:0:0:1 - - [13/Mar/2023:17:08:28 +0530] "GET /addressbook/VAADIN/themes/valo/fonts/open-sans/OpenSans-Regular-webfont.woff HTTP/1.1" 200 22660
0:0:0:0:0:0:0:1 - - [13/Mar/2023:17:08:28 +0530] "GET /addressbook/VAADIN/themes/valo/fonts/open-sans/OpenSans-Light-webfont.woff HTTP/1.1" 200 22248
0:0:0:0:0:0:0:1 - - [13/Mar/2023:17:08:28 +0530] "POST /addressbook/UIDL/?v-uiId=0 HTTP/1.1" 200 2850
0:0:0:0:0:0:0:1 - - [13/Mar/2023:17:08:32 +0530] "POST /addressbook/UIDL/?v-uiId=0 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [13/Mar/2023:17:08:34 +0530] "POST /addressbook/UIDL/?v-uiId=0 HTTP/1.1" 200 158
